locationA,locationB,avg_purchase_to_delivery_days,avg_carrier_to_delivery_days,on_time_delivery,late_delivery,on_time_carrier,late_carrier,punctuality_ratio,total_successful_deliveries
Amnat Charoen,Amnat Charoen,11.941176470588236,8.235294117647058,32,2,33,1,0.9411764705882353,34
Amnat Charoen,Ang Thong,8.441176470588236,6.235294117647059,32,2,33,1,0.9411764705882353,34
Amnat Charoen,Bangkok,10.909090909090908,8.193181818181818,78,10,80,8,0.8863636363636364,88
Amnat Charoen,Bueng Kan,13.425,10.375,34,6,32,8,0.85,40
Amnat Charoen,Buri Ram,12.347826086956522,9.293478260869565,89,3,88,4,0.967391304347826,92
Amnat Charoen,Chachoengsao,14.487179487179487,10.803418803418804,104,13,102,15,0.8888888888888888,117
Amnat Charoen,Chai Nat,10.122448979591837,7.653061224489796,45,4,46,3,0.9183673469387755,49
Amnat Charoen,Chaiyaphum,12.51063829787234,9.148936170212766,46,1,44,3,0.9787234042553191,47
Amnat Charoen,Chanthaburi,10.957446808510639,8.404255319148936,43,4,44,3,0.9148936170212766,47
Amnat Charoen,Chiang Mai,14.99090909090909,9.536363636363637,97,13,97,13,0.8818181818181818,110
Amnat Charoen,Chon Buri,11.087719298245615,7.649122807017544,53,4,54,3,0.9298245614035088,57
Amnat Charoen,Chumphon,6.545454545454546,4.636363636363637,11,0,10,1,1.0,11
Amnat Charoen,Kalasin,12.240384615384615,9.365384615384615,95,9,98,6,0.9134615384615384,104
Amnat Charoen,Kamphaeng Phet,15.409090909090908,8.5,20,2,19,3,0.9090909090909091,22
Amnat Charoen,Kanchanaburi,4.0,3.0,3,0,3,0,1.0,3
Amnat Charoen,Khon Kaen,15.0,11.407407407407407,49,5,50,4,0.9074074074074074,54
Amnat Charoen,Krabi,14.666666666666666,12.666666666666666,3,0,3,0,1.0,3
Amnat Charoen,Lampang,14.064516129032258,9.67741935483871,29,2,27,4,0.9354838709677419,31
Amnat Charoen,Lamphun,17.238095238095237,11.666666666666666,19,2,19,2,0.9047619047619048,21
Amnat Charoen,Loei,11.787878787878787,8.727272727272727,31,2,32,1,0.9393939393939394,33
Amnat Charoen,Lop Buri,12.189655172413794,9.017241379310345,52,6,52,6,0.896551724137931,58
Amnat Charoen,Maha Sarakham,11.55056179775281,8.707865168539326,80,9,76,13,0.898876404494382,89
Amnat Charoen,Mukdahan,10.261904761904763,7.738095238095238,41,1,40,2,0.9761904761904762,42
Amnat Charoen,Nakhon Nayok,8.785714285714286,5.178571428571429,25,3,22,6,0.8928571428571429,28
Amnat Charoen,Nakhon Pathom,8.416666666666666,6.083333333333333,12,0,11,1,1.0,12
Amnat Charoen,Nakhon Phanom,10.795918367346939,7.989795918367347,98,0,92,6,1.0,98
Amnat Charoen,Nakhon Ratchasima,11.064102564102564,7.634615384615385,151,5,143,13,0.967948717948718,156
Amnat Charoen,Nakhon Sawan,12.4,8.6,5,0,4,1,1.0,5
Amnat Charoen,Nakhon Si Thammarat,10.3,7.0,10,0,9,1,1.0,10
Amnat Charoen,Narathiwat,40.0,29.5,1,1,2,0,0.5,2
Amnat Charoen,Nong Khai,13.05,9.15,19,1,18,2,0.95,20
Amnat Charoen,Nonthaburi,8.9375,5.0625,16,0,13,3,1.0,16
Amnat Charoen,Pathum Thani,14.866666666666667,11.366666666666667,26,4,28,2,0.8666666666666667,30
Amnat Charoen,Pattani,8.52,6.56,24,1,25,0,0.96,25
Amnat Charoen,Phangnga,10.0,5.0,1,0,0,1,1.0,1
Amnat Charoen,Phatthalung,6.375,4.25,8,0,8,0,1.0,8
Amnat Charoen,Phetchaburi,11.333333333333334,5.0,3,0,3,0,1.0,3
Amnat Charoen,Phra Nakhon Si Ayutthaya,14.25,8.692307692307692,45,7,43,9,0.8653846153846154,52
Amnat Charoen,Phrae,13.2,10.8,5,0,5,0,1.0,5
Amnat Charoen,Phuket,7.0,6.0,1,0,1,0,1.0,1
Amnat Charoen,Prachin Buri,12.308823529411764,9.014705882352942,62,6,64,4,0.9117647058823529,68
Amnat Charoen,Prachuap Khiri Khan,11.454545454545455,7.545454545454546,11,0,9,2,1.0,11
Amnat Charoen,Ranong,7.285714285714286,4.857142857142857,7,0,6,1,1.0,7
Amnat Charoen,Ratchaburi,9.125,5.625,8,0,6,2,1.0,8
Amnat Charoen,Rayong,10.96774193548387,8.64516129032258,28,3,30,1,0.9032258064516129,31
Amnat Charoen,Roi Et,13.186746987951807,9.55421686746988,148,18,152,14,0.891566265060241,166
Amnat Charoen,Sa Kaeo,10.827586206896552,8.03448275862069,28,1,29,0,0.9655172413793104,29
Amnat Charoen,Sakon Nakhon,12.545454545454545,8.527272727272727,99,11,94,16,0.9,110
Amnat Charoen,Samut Prakan,11.037037037037036,8.88888888888889,25,2,26,1,0.9259259259259259,27
Amnat Charoen,Samut Sakhon,13.714285714285714,7.142857142857143,7,0,7,0,1.0,7
Amnat Charoen,Samut Songkhram,7.333333333333333,4.266666666666667,15,0,13,2,1.0,15
Amnat Charoen,Saraburi,11.96774193548387,9.193548387096774,85,8,87,6,0.9139784946236559,93
Amnat Charoen,Satun,18.666666666666668,15.166666666666666,3,3,6,0,0.5,6
Amnat Charoen,Si Sa Ket,12.171875,9.2578125,351,33,347,37,0.9140625,384
Amnat Charoen,Sing Buri,14.875,11.125,20,4,21,3,0.8333333333333334,24
Amnat Charoen,Songkhla,8.727272727272727,6.181818181818182,9,2,11,0,0.8181818181818182,11
Amnat Charoen,Sukhothai,14.0,4.25,4,0,4,0,1.0,4
Amnat Charoen,Suphan Buri,10.0,8.5,4,0,4,0,1.0,4
Amnat Charoen,Surat Thani,27.5,25.75,3,1,4,0,0.75,4
Amnat Charoen,Surin,13.193548387096774,10.225806451612904,169,17,176,10,0.9086021505376344,186
Amnat Charoen,Tak,8.25,4.25,4,0,3,1,1.0,4
Amnat Charoen,Trang,8.666666666666666,3.3333333333333335,3,0,3,0,1.0,3
Amnat Charoen,Trat,12.766666666666667,9.583333333333334,50,10,53,7,0.8333333333333334,60
Amnat Charoen,Ubon Ratchathani,10.658333333333333,7.733333333333333,112,8,114,6,0.9333333333333333,120
Amnat Charoen,Udon Thani,12.879310344827585,8.293103448275861,55,3,51,7,0.9482758620689655,58
Amnat Charoen,Uthai Thani,11.166666666666666,7.5,6,0,6,0,1.0,6
Amnat Charoen,Uttaradit,14.416666666666666,10.916666666666666,11,1,12,0,0.9166666666666666,12
Amnat Charoen,Yala,15.0,7.0,1,0,0,1,1.0,1
Amnat Charoen,Yasothon,9.307692307692308,6.769230769230769,48,4,51,1,0.9230769230769231,52
Ang Thong,Ang Thong,4.0,4.0,1,0,1,0,1.0,1
Ang Thong,Bangkok,9.0,6.294117647058823,16,1,16,1,0.9411764705882353,17
Ang Thong,Bueng Kan,12.285714285714286,8.892857142857142,23,5,21,7,0.8214285714285714,28
Ang Thong,Buri Ram,11.168831168831169,6.87012987012987,76,1,76,1,0.987012987012987,77
Ang Thong,Chachoengsao,11.840579710144928,7.898550724637682,66,3,61,8,0.9565217391304348,69
Ang Thong,Chai Nat,8.0,6.636363636363637,10,1,11,0,0.9090909090909091,11
Ang Thong,Chaiyaphum,10.463414634146341,7.512195121951219,39,2,37,4,0.9512195121951219,41
Ang Thong,Chanthaburi,10.708333333333334,7.166666666666667,24,0,20,4,1.0,24
Ang Thong,Chiang Mai,12.346153846153847,7.576923076923077,49,3,49,3,0.9423076923076923,52
Ang Thong,Chon Buri,10.875,8.3125,30,2,31,1,0.9375,32
Ang Thong,Chumphon,14.052631578947368,11.210526315789474,16,3,18,1,0.8421052631578947,19
Ang Thong,Kalasin,11.984615384615385,8.246153846153845,59,6,60,5,0.9076923076923077,65
Ang Thong,Kamphaeng Phet,7.5,4.4,29,1,28,2,0.9666666666666667,30
Ang Thong,Kanchanaburi,11.9,8.4,8,2,8,2,0.8,10
Ang Thong,Khon Kaen,11.066666666666666,8.4,29,1,29,1,0.9666666666666667,30
Ang Thong,Krabi,13.090909090909092,10.272727272727273,10,1,10,1,0.9090909090909091,11
Ang Thong,Lampang,10.0,7.586206896551724,28,1,29,0,0.9655172413793104,29
Ang Thong,Lamphun,14.64,9.56,21,4,17,8,0.84,25
Ang Thong,Loei,11.583333333333334,7.0,11,1,10,2,0.9166666666666666,12
Ang Thong,Lop Buri,10.818181818181818,7.636363636363637,10,1,10,1,0.9090909090909091,11
Ang Thong,Maha Sarakham,11.696969696969697,8.621212121212121,59,7,58,8,0.8939393939393939,66
Ang Thong,Mukdahan,11.095238095238095,8.095238095238095,39,3,42,0,0.9285714285714286,42
Ang Thong,Nakhon Nayok,11.655172413793103,8.10344827586207,25,4,26,3,0.8620689655172413,29
Ang Thong,Nakhon Pathom,10.764705882352942,7.882352941176471,15,2,15,2,0.8823529411764706,17
Ang Thong,Nakhon Phanom,8.493333333333334,5.573333333333333,73,2,64,11,0.9733333333333334,75
Ang Thong,Nakhon Ratchasima,9.460992907801419,6.865248226950355,134,7,133,8,0.950354609929078,141
Ang Thong,Nakhon Sawan,11.130434782608695,7.608695652173913,21,2,20,3,0.9130434782608695,23
Ang Thong,Nakhon Si Thammarat,10.666666666666666,8.133333333333333,14,1,15,0,0.9333333333333333,15
Ang Thong,Narathiwat,14.0,8.777777777777779,9,0,9,0,1.0,9
Ang Thong,Nong Khai,12.076923076923077,8.23076923076923,12,1,13,0,0.9230769230769231,13
Ang Thong,Nonthaburi,10.923076923076923,8.153846153846153,12,1,13,0,0.9230769230769231,13
Ang Thong,Pathum Thani,8.375,6.25,8,0,8,0,1.0,8
Ang Thong,Pattani,13.741935483870968,8.870967741935484,26,5,28,3,0.8387096774193549,31
Ang Thong,Phangnga,11.0,5.5,4,0,4,0,1.0,4
Ang Thong,Phatthalung,5.25,2.375,8,0,7,1,1.0,8
Ang Thong,Phetchaburi,8.772727272727273,5.0,21,1,19,3,0.9545454545454546,22
Ang Thong,Phra Nakhon Si Ayutthaya,11.75,4.5,4,0,4,0,1.0,4
Ang Thong,Phrae,12.272727272727273,7.2727272727272725,11,0,11,0,1.0,11
Ang Thong,Phuket,14.0,11.333333333333334,3,0,3,0,1.0,3
Ang Thong,Prachin Buri,12.91304347826087,8.717391304347826,43,3,39,7,0.9347826086956522,46
