product_category_name_english,count,total_rev,total_cost
agro_industry_and_commerce,212,72530.47,78374.07
air_conditioning,297,55024.96,61774.19
arts,209,24202.64,28247.81
arts_and_craftmanship,24,1814.01,2184.14
audio,364,50688.5,56398.94
auto,4235,592720.11,685384.32
baby,3064,409830.89,478157.0
bed_bath_table,11115,1036988.68,1241681.72
books_general_interest,553,46856.88,56052.4
books_imported,60,4639.85,5409.7
books_technical,267,19096.06,23379.12
cds_dvds_musicals,14,730.0,954.99
christmas_supplies,153,8800.82,12030.12
computers,203,222963.13,232799.43
computers_accessories,7827,911954.32,1059272.4
consoles_games,1137,157465.22,177293.24
construction_tools_construction,929,144677.59,165328.0
construction_tools_garden,238,25715.89,31027.29
construction_tools_lights,304,41080.0,48663.8
construction_tools_safety,194,40544.52,44463.62
construction_tools_tools,103,15903.95,17934.170000000002
cool_stuff,3796,635290.85,719329.95
cuisine,14,2054.99,2388.54
diapers_and_hygiene,39,1567.59,2141.27
drinks,379,22428.7,28169.95
dvds_blue_ray,64,5999.39,7288.13
electronics,2767,160246.74,206825.06
fashion_bags_accessories,2031,152823.54,184273.54
fashion_children_clothes,8,569.85,665.36
fashion_female_clothing,48,2803.64,3425.39
fashion_male_clothing,132,10797.82,12950.23
fashion_shoes,262,23562.77,28481.64
fashion_sport,30,2119.51,2697.64
fashion_underwear_beach,131,9541.55,11457.74
fixed_telephony,264,59583.0,64220.81
flowers,33,1110.04,1598.91
food,510,29393.41,36664.44
food_drink,278,15179.48,19687.47
furniture_bedroom,109,20028.78,24661.01
furniture_decor,8334,729762.49,902511.79
furniture_living_room,503,68916.56,86884.73
furniture_mattress_and_upholstery,38,4368.08,5998.54
garden_tools,4347,485256.46,584219.21
health_beauty,9670,1258681.34,1441248.07
home_appliances,771,80171.53,94990.43
home_appliances_2,238,113317.74,123917.92
home_comfort,434,58572.04,67073.27
home_comfort_2,30,760.27,1170.58
home_construction,604,83088.12,96920.36
housewares,6964,632248.66,778397.77
industry_commerce_and_business,268,39669.61,47554.29
kitchen_dining_laundry_garden_furniture,281,46328.37,58327.8
luggage_accessories,1092,140429.98,170875.21
market_place,311,28378.47,33834.53
music,38,6034.35,6724.860000000001
musical_instruments,680,191498.88,210137.37
office_furniture,1691,273960.7,342532.65
party_supplies,43,4485.18,5313.150000000001
perfumery,3419,399124.87,453338.71
pet_shop,1947,214315.41,253876.65
security_and_services,2,283.28999999999996,324.51
signaling_and_security,199,21509.23,28017.05
small_appliances,679,190648.58,206668.83
small_appliances_home_oven_and_coffee,76,47445.71,50193.57
sports_leisure,8641,988048.97,1156656.48
stationery,2517,230943.23,277741.71
tablets_printing_image,83,7528.41,8754.61
telephony,4545,323667.52999999997,394883.32
theater_photo,72,6933.46,8189.66
toys,4117,483946.6,561372.55
watches_gifts,5991,1205005.68,1305541.61
