order_month,product_category_name_english,order_count
2016-09,furniture_decor,2
2016-09,health_beauty,3
2016-09,telephony,1
2016-10,auto,12
2016-10,bed_bath_table,8
2016-10,computers_accessories,21
2016-10,furniture_decor,67
2016-10,garden_tools,5
2016-10,health_beauty,48
2016-10,housewares,12
2016-10,sports_leisure,19
2016-10,telephony,10
2016-10,watches_gifts,5
2017-01,auto,34
2017-01,bed_bath_table,48
2017-01,computers_accessories,31
2017-01,furniture_decor,182
2017-01,garden_tools,58
2017-01,health_beauty,85
2017-01,housewares,28
2017-01,sports_leisure,80
2017-01,telephony,26
2017-01,watches_gifts,11
2017-02,auto,86
2017-02,bed_bath_table,165
2017-02,computers_accessories,106
2017-02,furniture_decor,266
2017-02,garden_tools,72
2017-02,health_beauty,166
2017-02,housewares,81
2017-02,sports_leisure,156
2017-02,telephony,111
2017-02,watches_gifts,37
2017-03,auto,87
2017-03,bed_bath_table,289
2017-03,computers_accessories,174
2017-03,furniture_decor,328
2017-03,garden_tools,150
2017-03,health_beauty,211
2017-03,housewares,204
2017-03,sports_leisure,199
2017-03,telephony,172
2017-03,watches_gifts,81
2017-04,auto,88
2017-04,bed_bath_table,274
2017-04,computers_accessories,136
2017-04,furniture_decor,203
2017-04,garden_tools,119
2017-04,health_beauty,189
2017-04,housewares,183
2017-04,sports_leisure,218
2017-04,telephony,145
2017-04,watches_gifts,97
2017-05,auto,125
2017-05,bed_bath_table,369
2017-05,computers_accessories,320
2017-05,furniture_decor,279
2017-05,garden_tools,141
2017-05,health_beauty,290
2017-05,housewares,307
2017-05,sports_leisure,316
2017-05,telephony,224
2017-05,watches_gifts,135
2017-06,auto,112
2017-06,bed_bath_table,382
2017-06,computers_accessories,261
2017-06,furniture_decor,233
2017-06,garden_tools,114
2017-06,health_beauty,260
2017-06,housewares,331
2017-06,sports_leisure,277
2017-06,telephony,160
2017-06,watches_gifts,124
2017-07,auto,117
2017-07,bed_bath_table,579
2017-07,computers_accessories,326
2017-07,furniture_decor,320
2017-07,garden_tools,190
2017-07,health_beauty,316
2017-07,housewares,276
2017-07,sports_leisure,387
2017-07,telephony,144
2017-07,watches_gifts,168
2017-08,auto,166
2017-08,bed_bath_table,512
2017-08,computers_accessories,350
2017-08,furniture_decor,436
2017-08,garden_tools,238
2017-08,health_beauty,360
2017-08,housewares,288
2017-08,sports_leisure,425
2017-08,telephony,136
2017-08,watches_gifts,212
2017-09,auto,108
2017-09,bed_bath_table,533
2017-09,computers_accessories,253
2017-09,furniture_decor,348
2017-09,garden_tools,225
2017-09,health_beauty,380
2017-09,housewares,255
2017-09,sports_leisure,461
2017-09,telephony,177
2017-09,watches_gifts,268
2017-10,auto,150
2017-10,bed_bath_table,545
2017-10,computers_accessories,322
2017-10,furniture_decor,379
2017-10,garden_tools,281
2017-10,health_beauty,361
2017-10,housewares,235
2017-10,sports_leisure,471
2017-10,telephony,253
2017-10,watches_gifts,314
2017-11,auto,263
2017-11,bed_bath_table,975
2017-11,computers_accessories,532
2017-11,furniture_decor,783
2017-11,garden_tools,550
2017-11,health_beauty,584
2017-11,housewares,423
2017-11,sports_leisure,612
2017-11,telephony,383
2017-11,watches_gifts,469
2017-12,auto,268
2017-12,bed_bath_table,552
2017-12,computers_accessories,287
2017-12,furniture_decor,390
2017-12,garden_tools,325
2017-12,health_beauty,466
2017-12,housewares,295
2017-12,sports_leisure,493
2017-12,telephony,267
2017-12,watches_gifts,367
2018-01,auto,268
2018-01,bed_bath_table,848
2018-01,computers_accessories,707
2018-01,furniture_decor,612
2018-01,garden_tools,240
2018-01,health_beauty,628
2018-01,housewares,359
2018-01,sports_leisure,654
2018-01,telephony,372
2018-01,watches_gifts,370
2018-02,auto,319
2018-02,bed_bath_table,690
2018-02,computers_accessories,981
2018-02,furniture_decor,434
2018-02,garden_tools,296
2018-02,health_beauty,668
2018-02,housewares,400
2018-02,sports_leisure,651
2018-02,telephony,359
2018-02,watches_gifts,337
2018-03,auto,344
2018-03,bed_bath_table,798
2018-03,computers_accessories,758
2018-03,furniture_decor,595
2018-03,garden_tools,262
2018-03,health_beauty,673
2018-03,housewares,407
2018-03,sports_leisure,761
2018-03,telephony,344
2018-03,watches_gifts,430
2018-04,auto,356
2018-04,bed_bath_table,746
2018-04,computers_accessories,544
2018-04,furniture_decor,594
2018-04,garden_tools,288
2018-04,health_beauty,694
2018-04,housewares,471
2018-04,sports_leisure,600
2018-04,telephony,284
2018-04,watches_gifts,505
2018-05,auto,311
2018-05,bed_bath_table,747
2018-05,computers_accessories,464
2018-05,furniture_decor,605
2018-05,garden_tools,291
2018-05,health_beauty,770
2018-05,housewares,619
2018-05,sports_leisure,492
2018-05,telephony,256
2018-05,watches_gifts,636
2018-06,auto,300
2018-06,bed_bath_table,773
2018-06,computers_accessories,408
2018-06,furniture_decor,405
2018-06,garden_tools,185
2018-06,health_beauty,885
2018-06,housewares,584
2018-06,sports_leisure,426
2018-06,telephony,219
2018-06,watches_gifts,481
2018-07,auto,344
2018-07,bed_bath_table,624
2018-07,computers_accessories,427
2018-07,furniture_decor,440
2018-07,garden_tools,179
2018-07,health_beauty,784
2018-07,housewares,577
2018-07,sports_leisure,468
2018-07,telephony,225
2018-07,watches_gifts,528
2018-08,auto,377
2018-08,bed_bath_table,658
2018-08,computers_accessories,419
2018-08,furniture_decor,433
2018-08,garden_tools,138
2018-08,health_beauty,849
2018-08,housewares,629
2018-08,sports_leisure,475
2018-08,telephony,277
2018-08,watches_gifts,416
