object_id,shape,admin0_name_en,admin0_name_th,admin0_pcode,admin1_name_en,admin1_name_th,admin1_pcode,admin2_name_en,admin2_name_th,admin2_pcode,admin3_name_en,admin3_name_th,admin3_pcode,shape_length,shape_area
1,Polygon,Thailand,ประเทศไทย,TH,Loei,เลย,TH42,Tha Li,ท่าลี่,TH4208,A Hi,อาฮี,TH420803,0.360041,0.005078
2,Polygon,Thailand,ประเทศไทย,TH,Pattani,ปัตตานี,TH94,Mueang Pattani,เมืองปัตตานี,TH9401,A Noru,อาเนาะรู,TH940102,0.0449,0.00012
3,Polygon,Thailand,ประเทศไทย,TH,Surin,สุรินทร์,TH32,Buachet,บัวเชด,TH3213,A Phon,อาโพน,TH321305,0.365838,0.004086
4,Polygon,Thailand,ประเทศไทย,TH,Yala,ยะลา,TH95,Raman,รามัน,TH9506,A Song,อาซ่อง,TH950615,0.314589,0.003177
5,Polygon,Thailand,ประเทศไทย,TH,Nan,น่าน,TH55,Wiang Sa,เวียงสา,TH5507,Ai Na Lai,อ่ายนาไลย,TH550711,1.102764,0.014955
6,Polygon,Thailand,ประเทศไทย,TH,Yala,ยะลา,TH95,Betong,เบตง,TH9502,Aiyoe Weng,อัยเยอร์เวง,TH950204,1.563061,0.053698
7,Polygon,Thailand,ประเทศไทย,TH,Roi Et,ร้อยเอ็ด,TH45,Pho Chai,โพธิ์ชัย,TH4508,Ak Khakham,อัคคะคำ,TH450804,0.326121,0.004442
8,Polygon,Thailand,ประเทศไทย,TH,Sakon Nakhon,สกลนคร,TH47,Akat Amnuai,อากาศอำนวย,TH4711,Akat,อากาศ,TH471101,0.569273,0.007845
9,Polygon,Thailand,ประเทศไทย,TH,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Phak Hai,ผักไห่,TH1408,Ammarit,อมฤต,TH140802,0.096707,0.000504
10,Polygon,Thailand,ประเทศไทย,TH,Amnat Charoen,อำนาจเจริญ,TH37,Lue Amnat,ลืออำนาจ,TH3707,Amnat,อำนาจ,TH370701,0.259003,0.00222
11,Polygon,Thailand,ประเทศไทย,TH,Samut Sakhon,สมุทรสาคร,TH74,Ban Phaeo,บ้านแพ้ว,TH7403,Amphaeng,อำแพง,TH740310,0.249443,0.002069
12,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Amphawa,อัมพวา,TH7503,Amphawa,อัมพวา,TH750301,0.107978,0.000271
13,Polygon,Thailand,ประเทศไทย,TH,Ratchaburi,ราชบุรี,TH70,Pak Tho,ปากท่อ,TH7008,Ang Hin,อ่างหิน,TH700808,0.604933,0.011599
14,Polygon,Thailand,ประเทศไทย,TH,Ang Thong,อ่างทอง,TH15,Pho Thong,โพธิ์ทอง,TH1504,Ang Kaeo,อ่างแก้ว,TH150401,0.147032,0.000848
15,Polygon,Thailand,ประเทศไทย,TH,Chanthaburi,จันทบุรี,TH22,Makham,มะขาม,TH2205,Ang Khiri,อ่างคีรี,TH220508,0.266434,0.004121
16,Polygon,Thailand,ประเทศไทย,TH,Chon Buri,ชลบุรี,TH20,Mueang Chon Buri,เมืองชลบุรี,TH2001,Ang Sila,อ่างศิลา,TH200117,0.101624,0.000438
17,Polygon,Thailand,ประเทศไทย,TH,Ubon Ratchathani,อุบลราชธานี,TH34,Phibun Mangsahan,พิบูลมังสาหาร,TH3419,Ang Sila,อ่างศิลา,TH341914,0.449272,0.00517
18,Polygon,Thailand,ประเทศไทย,TH,Phayao,พะเยา,TH56,Chiang Kham,เชียงคำ,TH5603,Ang Thong,อ่างทอง,TH560313,0.626458,0.009306
19,Polygon,Thailand,ประเทศไทย,TH,Nakhon Sawan,นครสวรรค์,TH60,Banphot Phisai,บรรพตพิสัย,TH6005,Ang Thong,อ่างทอง,TH600504,0.268903,0.002891
20,Polygon,Thailand,ประเทศไทย,TH,Kamphaeng Phet,กำแพงเพชร,TH62,Mueang Kamphaeng Phet,เมืองกำแพงเพชร,TH6201,Ang Thong,อ่างทอง,TH620103,1.034954,0.01761
21,Polygon,Thailand,ประเทศไทย,TH,Ratchaburi,ราชบุรี,TH70,Mueang Ratchaburi,เมืองราชบุรี,TH7001,Ang Thong,อ่างทอง,TH700108,0.226008,0.001486
22,Polygon,Thailand,ประเทศไทย,TH,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thap Sakae,ทับสะแก,TH7703,Ang Thong,อ่างทอง,TH770302,0.609806,0.008773
23,Polygon,Thailand,ประเทศไทย,TH,Surat Thani,สุราษฎร์ธานี,TH84,Ko Samui,เกาะสมุย,TH8404,Ang Thong,อ่างทอง,TH840401,1.168718,0.005146
24,Polygon,Thailand,ประเทศไทย,TH,Phatthalung,พัทลุง,TH93,Srinagarindra,ศรีนครินทร์,TH9311,Ang Thong,อ่างทอง,TH931103,0.220536,0.001771
25,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bang Khen,บางเขน,TH1005,Anusawari,อนุสาวรีย์,TH100502,0.174592,0.00151
26,Polygon,Thailand,ประเทศไทย,TH,Krabi,กระบี่,TH81,Ao Luek,อ่าวลึก,TH8105,Ao Luek Noi,อ่าวลึกน้อย,TH810505,0.469273,0.004555
27,Polygon,Thailand,ประเทศไทย,TH,Krabi,กระบี่,TH81,Ao Luek,อ่าวลึก,TH8105,Ao Luek Nuea,อ่าวลึกเหนือ,TH810506,0.413648,0.006069
28,Polygon,Thailand,ประเทศไทย,TH,Krabi,กระบี่,TH81,Ao Luek,อ่าวลึก,TH8105,Ao Luek Tai,อ่าวลึกใต้,TH810501,0.5259,0.007167
29,Polygon,Thailand,ประเทศไทย,TH,Krabi,กระบี่,TH81,Mueang Krabi,เมืองกระบี่,TH8101,Ao Nang,อ่าวนาง,TH810116,0.892315,0.005019
30,Polygon,Thailand,ประเทศไทย,TH,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Mueang Prachuap Khiri Khan,เมืองประจวบคีรีข,TH7701,Ao Noi,อ่าวน้อย,TH770105,0.887148,0.028767
31,Polygon,Thailand,ประเทศไทย,TH,Trang,ตรัง,TH92,Wang Wiset,วังวิเศษ,TH9207,Ao Tong,อ่าวตง,TH920703,0.677909,0.015503
32,Polygon,Thailand,ประเทศไทย,TH,Trat,ตราด,TH23,Mueang Trat,เมืองตราด,TH2301,Ao Yai,อ่าวใหญ่,TH230106,0.273783,0.001683
33,Polygon,Thailand,ประเทศไทย,TH,Surat Thani,สุราษฎร์ธานี,TH84,Khian Sa,เคียนซา,TH8414,Aranyakham Wari,อรัญคามวารี,TH841404,0.735998,0.009125
34,Polygon,Thailand,ประเทศไทย,TH,Sa Kaeo,สระแก้ว,TH27,Aranyaprathet,อรัญประเทศ,TH2706,Aranyaprathet,อรัญประเทศ,TH270601,0.212176,0.000792
35,Polygon,Thailand,ประเทศไทย,TH,Phitsanulok,พิษณุโลก,TH65,Mueang Phitsanulok,เมืองพิษณุโลก,TH6501,Aranyik,อรัญญิก,TH650117,0.346054,0.002511
36,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bangkok Noi,บางกอกน้อย,TH1020,Arun Ammarin,อรุณอมรินทร์,TH102009,0.07932,0.000253
37,Polygon,Thailand,ประเทศไทย,TH,Nakhon Nayok,นครนายก,TH26,Ban Na,บ้านนา,TH2603,Asa,อาษา,TH260304,0.289229,0.001046
38,Polygon,Thailand,ประเทศไทย,TH,Roi Et,ร้อยเอ็ด,TH45,At Samat,อาจสามารถ,TH4514,At Samat,อาจสามารถ,TH451401,0.330243,0.005182
39,Polygon,Thailand,ประเทศไทย,TH,Nakhon Phanom,นครพนม,TH48,Mueang Nakhon Phanom,เมืองนครพนม,TH4801,At Samat,อาจสามารถ,TH480107,0.359554,0.003258
